Frame,Time (s),Label,Confidence,"Bounding Box (x1,y1,x2,y2)"
45,0.75,With Helmet,0.01,"(722,150,808,232)"
45,0.75,With Helmet,0.01,"(439,160,509,230)"
45,0.75,With Helmet,0.01,"(307,109,397,185)"
45,0.75,No Helmet,0.01,"(692,151,813,246)"
46,0.77,With Helmet,0.01,"(720,150,808,233)"
46,0.77,With Helmet,0.01,"(439,159,510,231)"
46,0.77,With Helmet,0.01,"(305,109,397,186)"
46,0.77,No Helmet,0.01,"(686,151,810,247)"
47,0.78,With Helmet,0.01,"(717,151,808,234)"
47,0.78,With Helmet,0.01,"(440,159,509,231)"
47,0.78,With Helmet,0.01,"(305,109,397,186)"
47,0.78,No Helmet,0.01,"(685,152,810,249)"
48,0.8,With Helmet,0.01,"(714,152,808,235)"
48,0.8,With Helmet,0.01,"(440,159,511,231)"
48,0.8,With Helmet,0.01,"(304,109,396,186)"
48,0.8,No Helmet,0.01,"(685,153,809,246)"
49,0.82,With Helmet,0.01,"(719,153,813,237)"
49,0.82,With Helmet,0.01,"(304,108,396,186)"
49,0.82,With Helmet,0.01,"(439,159,512,231)"
49,0.82,No Helmet,0.01,"(685,153,808,248)"
50,0.83,With Helmet,0.01,"(709,152,806,236)"
50,0.83,With Helmet,0.01,"(438,158,506,231)"
50,0.83,With Helmet,0.01,"(303,108,395,186)"
50,0.83,No Helmet,0.01,"(282,109,402,196)"
50,0.83,No Helmet,0.01,"(684,153,808,249)"
51,0.85,With Helmet,0.01,"(708,153,805,237)"
51,0.85,With Helmet,0.01,"(438,158,505,233)"
51,0.85,No Helmet,0.01,"(281,108,401,196)"
51,0.85,With Helmet,0.01,"(303,108,394,186)"
52,0.87,With Helmet,0.01,"(708,154,804,236)"
52,0.87,With Helmet,0.01,"(429,157,497,233)"
52,0.87,No Helmet,0.01,"(281,108,399,196)"
53,0.88,With Helmet,0.01,"(707,153,805,238)"
53,0.88,With Helmet,0.01,"(427,157,494,234)"
53,0.88,No Helmet,0.01,"(281,108,399,194)"
53,0.88,No Helmet,0.01,"(684,155,807,251)"
54,0.9,With Helmet,0.01,"(707,154,805,239)"
54,0.9,With Helmet,0.01,"(424,157,493,235)"
54,0.9,No Helmet,0.01,"(684,155,808,251)"
54,0.9,No Helmet,0.01,"(281,108,397,194)"
55,0.92,With Helmet,0.01,"(706,155,803,240)"
55,0.92,With Helmet,0.01,"(421,157,492,236)"
55,0.92,No Helmet,0.01,"(684,155,808,251)"
55,0.92,With Helmet,0.01,"(292,105,382,185)"
56,0.93,With Helmet,0.01,"(705,154,801,240)"
56,0.93,With Helmet,0.01,"(418,157,493,238)"
56,0.93,No Helmet,0.01,"(685,155,807,250)"
57,0.95,With Helmet,0.01,"(703,154,799,239)"
57,0.95,No Helmet,0.01,"(685,155,807,249)"
57,0.95,With Helmet,0.01,"(282,105,380,185)"
57,0.95,With Helmet,0.01,"(417,158,492,239)"
58,0.97,With Helmet,0.01,"(700,155,796,241)"
58,0.97,With Helmet,0.01,"(281,105,379,185)"
58,0.97,No Helmet,0.01,"(686,155,807,250)"
58,0.97,With Helmet,0.01,"(416,158,494,239)"
59,0.98,With Helmet,0.01,"(696,155,798,242)"
59,0.98,With Helmet,0.01,"(416,159,494,239)"
59,0.98,No Helmet,0.01,"(685,155,807,252)"
59,0.98,With Helmet,0.01,"(281,105,377,185)"
60,1.0,No Helmet,0.01,"(685,155,806,250)"
60,1.0,With Helmet,0.01,"(281,105,376,184)"
60,1.0,With Helmet,0.01,"(693,155,794,242)"
61,1.02,No Helmet,0.01,"(685,155,806,250)"
61,1.02,With Helmet,0.01,"(416,160,493,238)"
61,1.02,With Helmet,0.01,"(689,156,793,243)"
61,1.02,With Helmet,0.01,"(281,105,374,185)"
62,1.03,No Helmet,0.01,"(684,156,797,250)"
63,1.05,No Helmet,0.01,"(684,157,790,251)"
63,1.05,With Helmet,0.01,"(417,162,491,235)"
64,1.07,With Helmet,0.01,"(417,159,492,233)"
64,1.07,No Helmet,0.01,"(684,155,774,252)"
64,1.07,With Helmet,0.01,"(527,92,610,167)"
65,1.08,With Helmet,0.01,"(416,156,491,230)"
65,1.08,No Helmet,0.01,"(683,155,773,252)"
66,1.1,With Helmet,0.01,"(417,156,491,228)"
66,1.1,With Helmet,0.01,"(682,154,778,243)"
66,1.1,No Helmet,0.01,"(682,155,761,252)"
67,1.12,With Helmet,0.01,"(417,153,490,227)"
